strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
USDCNH CALL-upout  35Δ  1M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,2709239.43772473,1436000.0,1886275.1908534362,-822964.2468712938,-818260.1052554139,12.395543175487465,69.62379052172538,-1.1888574785872061,-2.425940758973451,-5.742843939508895,2.3262180163242783,-0.9588931665868993,-4.75215877529773,4,25.0,-419664.63014210743,-0.31805178034753323,0.44063523263782134,3.8184860423187086,100.0,24.512534818941504,,,,
USDCNH PUT-downout  35Δ  1M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,2712629.4027452767,1436000.0,1021250.1367421378,-1691379.2660031389,-1758887.272007736,7.242339832869081,37.64797858891439,-3.5798530376054507,-5.279646111914131,-6.804694399802535,2.108630211063538,-0.39938855111996435,-7.388276322977669,4,0.0,-613874.1505507458,-0.3040963704327283,0.09507139216802951,10.99412168758937,100.0,17.68802228412256,,,,
USDCNH CALL-upout  35Δ  6W  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,2951334.123620703,1436000.0,2647964.0870351777,-303370.0365855258,-555732.3855387821,14.206128133704734,89.72091861244938,-0.3238189710492895,-2.476703907280392,-9.091904788805893,3.936248335583771,-1.5893092121399643,-6.412952242864163,4,25.0,-272149.68701598694,-0.17262958166259573,0.7924407195974459,2.031238315809864,100.0,22.42339832869081,,,,
USDCNH PUT-downout  35Δ  6W  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,2956084.1177149713,1436000.0,1022816.9554560988,-1933267.1622588728,-1992643.2539491076,6.963788300835655,34.600400892743465,-3.377476035102626,-4.470098787202445,-8.77063614454616,3.3941666840754654,-0.7593046251668326,-7.8642654712779105,4,0.0,-880543.232346782,-0.3068107422869405,0.11339645492306756,13.770696143405967,100.0,17.96657381615599,,,,
USDCNH CALL-upout  35Δ  2M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,3311650.3171058604,1436000.0,2976483.9960812763,-335166.3210245846,-1441149.7700543771,13.231197771587745,89.87917536784211,-0.2848477881658862,-24.376244872400953,-92.45071073008252,39.43966394662412,-1.617954863559733,-63.815908819025076,4,50.0,-846066.2304796695,-0.07354607426285795,0.8083143578090103,6.137981307418566,100.0,23.398328690807798,,,,
USDCNH PUT-downout  35Δ  2M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,3318821.3079145146,1436000.0,1456807.5371762754,-1862013.770738239,-1983781.7571312292,8.07799442896936,43.89532915502782,-1.791775595619261,-6.14286220958783,-19.7228446623928,7.982351874248301,-1.2994515588823368,-14.12521408383613,4,25.0,-1111008.7899828816,-0.29682278576409854,0.2895631903279313,14.452577796590449,100.0,20.473537604456823,,,,
USDCNH CALL-upout  35Δ  10W  H@25Δ  [Realized vol (20d) < 252d p75],single,717,10000000.0,3469062.2547051143,1434000.0,3433364.2898216224,-35697.964883492095,-1592796.2463537147,13.668061366806135,98.97096211418302,-0.02037143252763385,-4.535363765215471,-10.961493142817728,5.66591266391926,-1.2492741392376665,-10.20127642913473,4,50.0,-965212.0667612924,-0.007105930899750638,0.9846029258992016,6.9604987993189065,100.0,24.267782426778243,,,,
USDCNH PUT-downout  35Δ  10W  H@25Δ  [Realized vol (20d) < 252d p75],single,717,10000000.0,3477477.9032552056,1434000.0,1510067.2927361121,-1967410.6105190937,-2064620.080851687,7.391910739191074,43.42420957794051,-2.2977589879024825,-2.1603698524380213,-3.492473814941578,1.0912678632494592,-0.5051301109474108,-3.2516377156874805,4,0.0,-765918.6333467758,-0.30212913530809393,0.23870505220922136,13.301712331761538,100.0,21.05997210599721,,,,
USDCNH CALL-upout  35Δ  3M  H@25Δ  [Realized vol (20d) < 252d p75],single,704,10000000.0,3761023.9934590105,1408000.0,3125754.208877505,-635269.7845815057,-1415170.3341170324,9.517045454545455,83.1091270439557,-0.4263260681122076,-2.5502334820938084,-9.065886869418417,3.897754420381805,-1.5283912032954907,-6.447987902475614,4,25.0,-623956.7348598045,-0.14458613664436668,0.7441142140051742,5.869896330612301,100.0,27.556818181818183,,,,
USDCNH PUT-downout  35Δ  3M  H@25Δ  [Realized vol (20d) < 252d p75],single,704,10000000.0,3772354.909138583,1408000.0,2613228.110490133,-1159126.7986484496,-1530820.1281670658,10.369318181818182,69.2731244390487,-0.7097263701983669,-1.5589069100142636,-4.712838586726526,1.917692420898176,-1.2301519792997964,-3.47659933091244,4,25.0,-889936.6404569895,-0.2438843613156844,0.5731515050288886,7.981467086453269,100.0,19.318181818181817,,,,
