strategy_name,strategy_type,period_type,period_end,pnl_usd,equity_usd,drawdown_usd
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,monthly,2026-01-31,1681590.4427228114,45036189.807697766,-876292.5492708907
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,monthly,2026-02-28,-3031665.6284159757,42004524.179281786,-3907958.17768687
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,monthly,2026-03-31,197391.36392856878,42201915.54321036,-3710566.8137582988
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,monthly,2026-04-30,1181338.7824039145,43383254.325614266,-2529228.03135439
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,monthly,2026-05-31,-535622.6895234591,42847631.6360908,-3064850.720877856
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,annual,2023-12-31,21081625.013244767,21081625.01324478,-7857748.903427884
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,annual,2024-12-31,12808419.90791731,33890044.92116208,0.0
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,annual,2025-12-31,9464554.44381282,43354599.364974946,-886494.4263446108
BASKET  Call-UO  10W  ATM/H@5Δ,eko_basket,annual,2026-12-31,-506967.72888414044,42847631.6360908,-3064850.720877856
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-03-31,1386.4217022404482,1386.4217022402445,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-04-30,3613276.420252508,3614662.841954748,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-05-31,-116972.14914919675,3497690.6928055515,-192076.78824041504
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-06-30,810112.9795015571,4307803.672307108,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-07-31,1103880.6936516005,5411684.365958708,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-08-31,4783348.159496492,10195032.525455201,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-09-30,6311824.161295254,16506856.686750457,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-10-31,7138317.193585866,23645173.880336322,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-11-30,-1019151.692508557,22626022.18782777,-2114488.792989414
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2023-12-31,-3821669.703389306,18804352.484438468,-5936158.496378716
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-01-31,-3866574.6745691635,14937777.809869299,-9802733.170947885
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-02-29,1001603.0677190884,15939380.87758839,-8801130.103228794
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-03-31,4315069.423997999,20254450.301586397,-4486060.679230787
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-04-30,5120527.15870757,25374977.460293967,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-05-31,6135914.4002726395,31510891.86056661,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-06-30,287657.43197068665,31798549.2925373,-361024.2295248695
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-07-31,454184.8550736323,32252734.147610936,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-08-31,-1535239.9514573638,30717494.19615357,-1786814.5755430683
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-09-30,-2746284.5964325825,27971209.59972099,-4533099.17197565
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-10-31,-2845935.486725962,25125274.112995025,-7379034.658701614
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-11-30,4997189.828816051,30122463.94181108,-2381844.8298855573
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2024-12-31,5468959.255631918,35591423.197443,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-01-31,6174405.031207967,41765828.22865096,-17969.507402822375
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-02-28,525167.0406094692,42290995.26926043,-469062.2275319025
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-03-31,-2709631.628522309,39581363.64073812,-3178693.856054209
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-04-30,-2082760.2699620475,37498603.370776065,-5261454.126016267
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-05-31,-4045714.6611333024,33452888.70964275,-9307168.787149582
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-06-30,-4210610.229508153,29242278.480134588,-13517779.016657744
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-07-31,-3918544.30983551,25323734.17029907,-17436323.32649326
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-08-31,2235100.388392767,27558834.55869184,-15201222.93810049
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-09-30,9151490.283746121,36710324.84243795,-6049732.654354379
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-10-31,5886791.324986073,42597116.16742402,-162941.3293683082
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-11-30,4768424.115773936,47365540.28319796,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2025-12-31,5344894.353813674,52710434.63701163,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2026-01-31,1883908.5425653036,54594343.179576926,-620332.9214443415
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2026-02-28,-2168682.993004549,52425660.18657238,-2789015.914448887
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2026-03-31,1066035.5552786223,53491695.741850995,-1722980.359170273
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2026-04-30,2049180.783789333,55540876.52564034,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,monthly,2026-05-31,-231931.22364131792,55308945.30199903,-231931.22364130616
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,annual,2023-12-31,18804352.484438457,18804352.484438468,-5936158.496378716
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,annual,2024-12-31,16787070.713004515,35591423.197443,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,annual,2025-12-31,17119011.439568684,52710434.63701163,0.0
BASKET  Call-UO  10W  ATM/H@10Δ,eko_basket,annual,2026-12-31,2598510.6649873923,55308945.30199903,-231931.22364130616
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-03-31,875529.2460354103,875529.2460354103,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-04-30,4450554.969254469,5326084.215289879,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-05-31,-743045.4639859219,4583038.751303956,-965863.4401075905
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-06-30,1974062.6690729905,6557101.420376948,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-07-31,2117000.8758595847,8674102.296236537,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-08-31,2221722.45704661,10895824.753283143,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-09-30,3780748.9871918377,14676573.740474984,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-10-31,4942798.690668351,19619372.43114333,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-11-30,56449.86566656371,19675822.296809893,-1537833.9756820053
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2023-12-31,-2864750.1931768274,16811072.103633065,-4402584.168858834
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-01-31,-2834841.681809324,13976230.421823744,-7237425.850668155
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-02-29,2000938.5501491218,15977168.97197286,-5236487.300519038
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-03-31,5279363.752195913,21256532.72416876,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-04-30,5144726.410782246,26401259.134951003,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-05-31,3893507.981344987,30294767.116295986,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-06-30,1006815.2999155159,31301582.416211504,-143102.3578813821
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-07-31,1347117.187081985,32648699.603293493,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-08-31,-714132.2214930704,31934567.381800428,-1168138.6704434939
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-09-30,-1968014.7173932644,29966552.664407168,-3136153.3878367543
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-10-31,-1847409.1240375144,28119143.540369652,-4983562.51187427
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-11-30,2709571.570385956,30828715.110755615,-2273990.941488307
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2024-12-31,2776189.870932984,33604904.9816886,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-01-31,3580399.6543009584,37185304.635989554,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-02-28,726935.6059325153,37912240.241922066,-543399.5060392395
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-03-31,-1576271.5957328847,36335968.64618918,-2119671.101772122
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-04-30,-1028822.973224561,35307145.672964625,-3148494.07499668
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-05-31,-2998310.6298230444,32308835.043141574,-6146804.704819731
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-06-30,-3140933.104921672,29167901.938219897,-9287737.809741408
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-07-31,-2466667.9011412594,26701234.03707864,-11754405.710882664
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-08-31,3226588.0636091838,29927822.10068782,-8527817.647273485
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-09-30,6935803.138165387,36863625.2388532,-1592014.5091081038
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-10-31,6395740.655336042,43259365.894189246,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-11-30,3217579.778281269,46476945.6724705,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2025-12-31,4301740.423341135,50778686.095811635,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2026-01-31,1867496.228635895,52646182.324447535,-379883.7698174268
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2026-02-28,-1276604.8995616266,51369577.42488592,-1656488.6693790406
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2026-03-31,348909.5356857307,51718486.96057164,-1307579.1336933225
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2026-04-30,1728632.688261715,53447119.64883336,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,monthly,2026-05-31,10519.37682566197,53457639.02565902,-15371.311052761972
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,annual,2023-12-31,16811072.10363307,16811072.103633065,-4402584.168858834
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,annual,2024-12-31,16793832.878055535,33604904.9816886,0.0
BASKET  Call-UO  10W  ATM/H@15Δ,eko_basket,annual,2025-12-31,17173781.11412307,50778686.095811635,0.0
