bbg_ticker,csv_filename,pair,region,onshore_offshore,category,tenor,field,in_data,n_rows,first_date,last_date
GBPUSD10R9M BGN Curncy,GBPUSD10R9M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_10D,9M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10B9M BGN Curncy,GBPUSD10B9M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_10D,9M,close,True,2706,2016-01-01,2026-05-15
GBPUSDV1Y BGN Curncy,GBPUSDV1Y BGN Curncy.csv,GBPUSD,G10,,VOL_ATM,1Y,close,True,2706,2016-01-01,2026-05-15
GBPUSD25R1Y BGN Curncy,GBPUSD25R1Y BGN Curncy.csv,GBPUSD,G10,,VOL_RR_25D,1Y,close,True,2706,2016-01-01,2026-05-15
GBPUSD25B1Y BGN Curncy,GBPUSD25B1Y BGN Curncy.csv,GBPUSD,G10,,VOL_BF_25D,1Y,close,True,2706,2016-01-01,2026-05-15
GBPUSD10R1Y BGN Curncy,GBPUSD10R1Y BGN Curncy.csv,GBPUSD,G10,,VOL_RR_10D,1Y,close,True,2706,2016-01-01,2026-05-15
GBPUSD10B1Y BGN Curncy,GBPUSD10B1Y BGN Curncy.csv,GBPUSD,G10,,VOL_BF_10D,1Y,close,True,2706,2016-01-01,2026-05-15
BPSWS1Z Curncy,BPSWS1Z Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,1W,close,True,2639,2016-01-01,2026-05-15
BPSWSA Curncy,BPSWSA Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,1M,close,True,2655,2016-01-04,2026-05-15
BPSWSB Curncy,BPSWSB Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,2M,close,True,2644,2016-01-04,2026-05-15
BPSWSC Curncy,BPSWSC Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,3M,close,True,2652,2016-01-04,2026-05-15
BPSWSF Curncy,BPSWSF Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,6M,close,True,2643,2016-01-04,2026-05-15
BPSWSI Curncy,BPSWSI Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,9M,close,True,2634,2016-01-04,2026-05-15
BPSWS1 Curncy,BPSWS1 Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,1Y,close,True,2645,2016-01-04,2026-05-15
BPSWS2 Curncy,BPSWS2 Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,2Y,close,True,2649,2016-01-04,2026-05-15
BPSWS5 Curncy,BPSWS5 Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,5Y,close,True,2630,2016-01-04,2026-05-15
BPSWS7 Curncy,BPSWS7 Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,7Y,close,True,2629,2016-01-04,2026-05-15
BPSWS10 Curncy,BPSWS10 Curncy.csv,GBPUSD,G10,,RATE_OIS_GBP,10Y,close,True,2626,2016-01-04,2026-05-15
GUKG2 Index,GUKG2 Index.csv,GBPUSD,G10,,RATE_GOVT_GBP,2Y,close,True,2691,2016-01-01,2026-05-15
GUKG5 Index,GUKG5 Index.csv,GBPUSD,G10,,RATE_GOVT_GBP,5Y,close,True,2691,2016-01-01,2026-05-15
GUKG7 Index,GUKG7 Index.csv,GBPUSD,G10,,RATE_GOVT_GBP,7Y,close,True,2691,2016-01-01,2026-05-15
GUKG10 Index,GUKG10 Index.csv,GBPUSD,G10,,RATE_GOVT_GBP,10Y,close,True,2691,2016-01-01,2026-05-15
AUD Curncy,AUD Curncy.csv,AUDUSD,G10,,SPOT,,open,True,2706,2016-01-01,2026-05-15
AUD1W BGN Curncy,AUD1W BGN Curncy.csv,AUDUSD,G10,,FWD_POINTS,1W,close,True,2706,2016-01-01,2026-05-15
AUD1M BGN Curncy,AUD1M BGN Curncy.csv,AUDUSD,G10,,FWD_POINTS,1M,close,True,2706,2016-01-01,2026-05-15
AUD2M BGN Curncy,AUD2M BGN Curncy.csv,AUDUSD,G10,,FWD_POINTS,2M,close,True,2706,2016-01-01,2026-05-15
AUD3M BGN Curncy,AUD3M BGN Curncy.csv,AUDUSD,G10,,FWD_POINTS,3M,close,True,2706,2016-01-01,2026-05-15
AUD6M BGN Curncy,AUD6M BGN Curncy.csv,AUDUSD,G10,,FWD_POINTS,6M,close,True,2706,2016-01-01,2026-05-15
AUD9M BGN Curncy,AUD9M BGN Curncy.csv,AUDUSD,G10,,FWD_POINTS,9M,close,True,2706,2016-01-01,2026-05-15
AUD12M BGN Curncy,AUD12M BGN Curncy.csv,AUDUSD,G10,,FWD_POINTS,12M,close,True,2706,2016-01-01,2026-05-15
AUDUSDV1W BGN Curncy,AUDUSDV1W BGN Curncy.csv,AUDUSD,G10,,VOL_ATM,1W,close,True,2706,2016-01-01,2026-05-15
AUDUSD25R1W BGN Curncy,AUDUSD25R1W BGN Curncy.csv,AUDUSD,G10,,VOL_RR_25D,1W,close,True,2706,2016-01-01,2026-05-15
AUDUSD25B1W BGN Curncy,AUDUSD25B1W BGN Curncy.csv,AUDUSD,G10,,VOL_BF_25D,1W,close,True,2706,2016-01-01,2026-05-15
AUDUSD10R1W BGN Curncy,AUDUSD10R1W BGN Curncy.csv,AUDUSD,G10,,VOL_RR_10D,1W,close,True,2706,2016-01-01,2026-05-15
AUDUSD10B1W BGN Curncy,AUDUSD10B1W BGN Curncy.csv,AUDUSD,G10,,VOL_BF_10D,1W,close,True,2706,2016-01-01,2026-05-15
AUDUSDV1M BGN Curncy,AUDUSDV1M BGN Curncy.csv,AUDUSD,G10,,VOL_ATM,1M,close,True,2706,2016-01-01,2026-05-15
